"","region","status","species","pop_1","M_all"
"1","C","3.post-observed","PM25",1309409.53,3.0627950918021
"2","C","3.post-predicted","PM25",1309409.53,3.21467794629187
"3","E","3.post-observed","PM25",2697641.07,2.64534052614915
"4","E","3.post-predicted","PM25",2697641.07,2.93886879531372
"5","N","3.post-observed","PM25",1918114.53,2.41837083881248
"6","N","3.post-predicted","PM25",1918114.53,2.59564046130833
"7","NE","3.post-observed","PM25",1000089.76,2.34302266966121
"8","NE","3.post-predicted","PM25",1000089.76,2.2157853001044
"9","NW","3.post-observed","PM25",764769.28,2.39775956128174
"10","NW","3.post-predicted","PM25",764769.28,2.44971943693766
"11","S","3.post-observed","PM25",1718373.32,1.20889864334032
"12","S","3.post-predicted","PM25",1718373.32,1.39794807768365
"13","SE","3.post-observed","PM25",808251.52,1.73621262803617
"14","SE","3.post-predicted","PM25",808251.52,1.92196294089943
"15","SW","3.post-observed","PM25",1285861.41,2.20710016148601
"16","SW","3.post-predicted","PM25",1285861.41,2.30261786974609
